Episode,Step,State,Q_values,Action
0,0,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,1,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,2,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,3,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,4,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,5,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,6,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,7,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,8,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
0,9,"[1, 0, 0, 0]","[0.1663913130760193, 0.1609068512916565, 0.16080880165100098, 0.16375653445720673, 0.15757210552692413, 0.16102981567382812, 0.16136609017848969, 0.15772858262062073, 0.16243550181388855, 0.16045606136322021, 0.1614178568124771, 0.1646365076303482]",0
