Episode,Reward,Steps,Epsilon,Loss
0,-258.37499999999994,86,0.995,0
1,2.3999999999999915,47,0.990025,0
2,21.94999999999999,43,0.985074875,0
3,-56.175,58,0.9801495006250001,0
4,-388.5,101,0.9752487531218751,0
5,-93.22500000000001,64,0.9703725093562657,0
6,-157.60000000000002,74,0.9655206468094844,0
7,26.150000000000006,42,0.960693043575437,0
8,-214.97500000000002,84,0.9558895783575597,0
9,-7.849999999999994,49,0.9511101304657719,0
10,-155.375,75,0.946354579813443,0
11,-0.875,50,0.9416228069143757,0
12,-199.5,81,0.9369146928798039,0
13,-240.12500000000003,85,0.9322301194154049,0
14,-85.925,63,0.9275689688183278,0
15,38.65,39,0.9229311239742362,0
16,-47.35000000000002,57,0.918316468354365,0
17,-16.35000000000001,52,0.9137248860125932,0
18,-494.875,111,0.9091562615825302,0
19,-478.225,112,0.9046104802746175,0
20,-48.0,56,0.9000874278732445,0
21,-318.375,95,0.8955869907338783,0
22,-156.375,75,0.8911090557802088,0
23,-89.75,65,0.8866535105013078,0
24,-31.549999999999997,53,0.8822202429488013,0
25,-365.84999999999997,99,0.8778091417340573,0
26,-295.35,92,0.8734200960253871,0
27,-149.0,75,0.8690529955452602,0
28,-90.5,66,0.8647077305675338,0
29,-66.47499999999998,59,0.8603841919146962,0
30,-147.925,73,0.8560822709551227,0
31,11.625,46,0.851801859600347,0
32,18.075000000000003,43,0.8475428503023453,0
33,-180.09999999999994,77,0.8433051360508336,0
34,21.375,45,0.8390886103705794,0
35,-62.550000000000026,58,0.8348931673187264,0
36,-185.67499999999995,78,0.8307187014821328,0
37,-384.25,101,0.8265651079747222,0
38,-274.125,90,0.8224322824348486,0
39,-5.9750000000000085,49,0.8183201210226743,0
40,-331.75,95,0.8142285204175609,0
41,-202.5,81,0.810157377815473,0
42,-44.05,58,0.8061065909263957,0
43,19.025000000000006,47,0.8020760579717637,0
44,-50.10000000000002,57,0.798065677681905,0
45,-31.549999999999997,53,0.7940753492934954,0
46,38.62499999999999,40,0.7901049725470279,0
47,-11.125000000000014,50,0.7861544476842928,0
48,-170.00000000000003,75,0.7822236754458713,0
49,-1586.0,186,0.778312557068642,0
50,67.9,29,0.7744209942832988,0
51,-144.35,72,0.7705488893118823,0
52,-512.1,112,0.7666961448653229,0
53,29.275000000000006,42,0.7628626641409962,0
54,-31.250000000000014,56,0.7590483508202912,0
55,-195.925,78,0.7552531090661897,0
56,-535.125,116,0.7514768435208588,0
57,-137.47499999999997,74,0.7477194593032545,0
58,-163.225,77,0.7439808620067382,0
59,-123.375,71,0.7402609576967045,0
60,-530.875,115,0.736559652908221,0
61,27.249999999999986,41,0.7328768546436799,0
62,-73.12500000000003,61,0.7292124703704616,0
63,-154.35000000000002,74,0.7255664080186093,0
64,-130.1,72,0.7219385759785162,0
65,-75.50000000000003,61,0.7183288830986236,0
66,-329.25,96,0.7147372386831305,0
67,-284.5,90,0.7111635524897149,0
68,-12.599999999999994,52,0.7076077347272662,0
69,-312.675,93,0.7040696960536299,0
70,-110.34999999999998,69,0.7005493475733617,0
71,-169.85,77,0.697046600835495,0
72,-562.975,117,0.6935613678313175,0
73,33.87499999999999,40,0.6900935609921609,0
74,-409.5,105,0.6866430931872001,0
75,-1269.05,168,0.6832098777212641,0
76,-142.6,72,0.6797938283326578,0
77,69.25,30,0.6763948591909945,0
78,-1015.1,152,0.6730128848950395,0
79,-109.6,67,0.6696478204705644,0
80,-32.8,53,0.6662995813682115,0
81,-38.5,56,0.6629680834613705,0
82,-11.599999999999994,49,0.6596532430440636,0
83,-21.60000000000001,54,0.6563549768288433,0
84,-41.125,56,0.653073201944699,0
85,-509.725,112,0.6498078359349755,0
86,-428.875,106,0.6465587967553006,0
87,-299.1,89,0.6433260027715241,0
88,-455.625,110,0.6401093727576664,0
89,-408.725,107,0.6369088258938781,0
90,-449.2249999999999,107,0.6337242817644086,0
91,-50.300000000000026,58,0.6305556603555866,0
92,2.825000000000003,48,0.6274028820538087,0
93,-454.875,106,0.6242658676435396,0
94,-3.5,51,0.6211445383053219,0
95,-20.424999999999997,53,0.6180388156137953,0
96,-1965.75,205,0.6149486215357263,0
97,29.150000000000006,42,0.6118738784280476,0
98,-193.97500000000002,79,0.6088145090359074,0
99,-331.875,96,0.6057704364907278,0
100,-439.125,106,0.6027415843082742,0
101,-209.55,83,0.5997278763867329,0
102,-923.6,144,0.5967292370047992,0
103,-671.875,126,0.5937455908197752,0
104,-534.85,114,0.5907768628656763,0
105,-1662.225,189,0.5878229785513479,0
106,-170.99999999999994,76,0.5848838636585911,0
107,-301.75,91,0.5819594443402982,0
108,-748.9250000000001,133,0.5790496471185967,0
109,-273.04999999999995,88,0.5761543988830038,0
110,-15.375000000000014,51,0.5732736268885887,0
111,-2047.625,210,0.5704072587541458,0
112,-525.3,113,0.567555222460375,0
113,-3301.8500000000004,262,0.5647174463480732,0
114,-1176.175,163,0.5618938591163328,0
115,-176.72500000000002,74,0.5590843898207511,0
116,-2511.725,232,0.5562889678716474,0
117,-3039.7999999999997,253,0.5535075230322891,0
118,-428.72499999999997,104,0.5507399854171277,0
119,-2199.975,217,0.547986285490042,0
120,-58.22499999999998,59,0.5452463540625918,0
121,-632.475,124,0.5425201222922789,0
122,-1415.7500000000002,175,0.5398075216808175,0
123,-530.25,115,0.5371084840724134,0
124,-1023.975,152,0.5344229416520513,0
125,-1144.3500000000001,159,0.531750826943791,0
126,-1004.3749999999999,150,0.5290920728090721,0
127,-1073.975,154,0.5264466124450268,0
128,-679.8499999999999,127,0.5238143793828016,0
129,-2955.725,249,0.5211953074858876,0
130,-1012.125,151,0.5185893309484582,0
131,-745.625,131,0.5159963842937159,0
132,-1318.0,171,0.5134164023722473,0
133,-651.8000000000001,123,0.510849320360386,0
134,-1357.875,171,0.5082950737585841,0
135,-388.225,102,0.5057535983897912,0
136,-534.75,115,0.5032248303978422,0
137,-359.34999999999997,99,0.500708706245853,0
138,-577.85,119,0.4982051627146237,0
139,-38.3,58,0.49571413690105054,0
140,-1061.75,156,0.4932355662165453,0
141,-1241.725,167,0.4907693883854626,0
142,-94.75,65,0.4883155414435353,0
143,-1011.1,152,0.4858739637363176,0
144,-1352.175,173,0.483444593917636,0
145,-2111.6250000000005,210,0.4810273709480478,0
