Episode,Reward,Steps,Epsilon,Loss
0,-2081.25,95,0.998,20254.980224609375
1,-1508.0,85,0.996004,212302.65155029297
2,-833.6249999999999,70,0.994011992,234856.45278930664
3,-798.4749999999999,69,0.992023968016,251201.9144897461
4,-1183.3,78,0.990039920079968,282083.0079803467
5,-33.10000000000002,47,0.9880598402398081,195697.5545654297
6,-2465.6,102,0.9860837205593285,428321.8945159912
7,-288.0,55,0.9841115531182099,169983.54830932617
8,-666.875,66,0.9821433300119734,266888.03007507324
9,-827.1249999999999,70,0.9801790433519495,266655.39752197266
10,-7.625,46,0.9782186852652456,181991.49922180176
11,-2292.2249999999995,99,0.976262247894715,288966.9575653076
12,-711.225,67,0.9743097233989256,241641.5828552246
13,-1569.25,86,0.9723611039521278,295845.7999267578
14,-2681.5000000000005,105,0.9704163817442236,446701.13360595703
15,326.75,31,0.9684755489807352,114970.99589538574
16,-4659.8,133,0.9665385978827737,446230.2572784424
17,-6761.725,157,0.9646055206870082,590981.4379272461
18,-800.2249999999999,69,0.9626763096456342,211120.1228942871
19,-675.5,66,0.9607509570263429,242465.96520996094
20,-2473.975,102,0.9588294551122902,382169.2700500488
21,-673.5,66,0.9569117962020657,221959.0089416504
22,-2307.5999999999995,99,0.9549979726096616,413744.05891418457
23,117.125,41,0.9530879766644422,168742.99145507812
24,-236.47500000000002,54,0.9511818007111134,166628.38186645508
25,-2671.25,105,0.9492794371096911,427074.9445953369
26,-177.60000000000002,52,0.9473808782354717,230932.98086547852
27,-518.225,62,0.9454861164790007,281356.38803100586
28,482.125,21,0.9435951442460427,97842.5495300293
29,-1280.75,80,0.9417079539575507,267275.99530029297
30,-154.0,51,0.9398245380496356,255469.23580932617
31,31.649999999999977,44,0.9379448889735363,229973.6157836914
32,39.39999999999998,44,0.9360689991955893,175882.68270874023
33,-553.425,63,0.9341968611971981,311586.5474243164
34,-434.25,60,0.9323284674748037,245130.30297851562
35,47.77499999999998,44,0.930463810539854,174782.89083862305
36,-2242.55,98,0.9286028829187744,420365.9571533203
37,-7182.85,162,0.9267456771529368,780123.0851135254
38,-47.47500000000002,47,0.9248921857986309,186978.52212524414
39,-40.85000000000002,47,0.9230424014270336,275447.7773742676
40,-3250.3499999999995,114,0.9211963166241796,542011.1147460938
41,140.625,40,0.9193539239909312,187442.89083862305
42,-1052.5,75,0.9175152161429493,304210.03005981445
43,-1227.725,79,0.9156801857106633,385543.6173400879
44,-1046.25,75,0.913848825339242,377533.7491760254
45,168.65000000000003,39,0.9120211276885636,181233.59539794922
46,-4716.6,134,0.9101970854331864,689488.0401000977
47,-876.75,71,0.9083766912623201,313334.91131591797
48,-146.5,51,0.9065599378797955,243337.4878540039
49,-557.175,63,0.9047468180040359,293086.7687988281
50,97.39999999999998,42,0.9029373243680279,255717.13357543945
51,92.77499999999998,42,0.9011314497192918,171953.0358581543
52,-2236.8,98,0.8993291868198532,451372.23388671875
53,-2244.425,98,0.8975305284462135,482122.2644042969
54,-5469.175,143,0.8957354673893211,669311.1767883301
55,294.32499999999993,33,0.8939439964545425,131440.95272827148
56,-3529.8,118,0.8921561084616334,639953.7543945312
57,-2647.375,105,0.8903717962447101,571865.309753418
58,-1421.425,83,0.8885910526522206,349640.5882873535
59,-635.4999999999999,65,0.8868138705469162,320851.27017211914
60,100.02499999999998,42,0.8850402428058224,198161.7052001953
61,-29.225000000000023,47,0.8832701623202107,204681.0818786621
62,-4274.8,128,0.8815036219955703,698090.8678588867
63,-1554.375,86,0.8797406147515792,401941.7839355469
64,-2525.55,103,0.877981133522076,451378.4594421387
65,-1189.8,78,0.8762251712550319,381189.85122680664
66,-3246.9749999999995,114,0.8744727209125218,639144.534362793
67,-661.25,66,0.8727237754706968,331979.4184265137
68,-336.85,57,0.8709783279197554,265596.99157714844
69,-2341.25,100,0.8692363712639158,508937.3436279297
70,-2602.3499999999995,104,0.867497898521388,437992.33029174805
71,-1468.35,84,0.8657629027243453,341987.73693847656
72,-564.05,63,0.8640313769188966,339766.64559936523
73,-2702.125,106,0.8623033141650589,554885.3738708496
74,-7027.25,160,0.8605787075367288,866527.905670166
75,-1569.375,86,0.8588575501216553,498570.7160644531
76,-1143.225,77,0.857139835021412,411715.48904418945
77,-670.125,66,0.8554255553513692,339889.5428161621
