Episode,Reward,Steps,Epsilon,Loss,Done
0,-6943.281553398055,119,0.995,126013.75231933594,True
1,-12979.233009708736,162,0.990025,199085.1079711914,True
2,-2937.4320388349497,78,0.985074875,129269.22644042969,True
3,-2087.33495145631,66,0.9801495006250001,120426.62573242188,True
4,-7690.733009708737,125,0.9752487531218751,197134.6943359375,True
5,-8310.61650485437,130,0.9703725093562657,204688.42626953125,True
6,-2783.1553398058254,76,0.9655206468094844,111562.79333496094,True
7,-11418.339805825244,152,0.960693043575437,234158.88409423828,True
8,-6634.733009708737,116,0.9558895783575597,193436.8779296875,True
9,-3256.97572815534,82,0.9511101304657719,132735.9493408203,True
10,-1837.325242718447,62,0.946354579813443,97673.41052246094,True
11,-4536.077669902911,96,0.9416228069143757,158664.93475341797,True
12,-515.3980582524272,35,0.9369146928798039,59200.860290527344,True
13,-874.7766990291263,44,0.9322301194154049,80327.00402832031,True
14,-3111.7184466019403,80,0.9275689688183278,136393.84185791016,True
15,-1608.0339805825242,58,0.9229311239742362,99443.43756103516,True
16,-7066.383495145626,120,0.918316468354365,214177.400390625,True
17,-1370.9805825242713,54,0.9137248860125932,95813.29626464844,True
18,-616.3495145631067,38,0.9091562615825302,66500.59985351562,True
19,-1664.71359223301,59,0.9046104802746175,109104.30438232422,True
20,-2497.2427184466023,72,0.9000874278732445,135199.76245117188,True
21,-2507.2669902912617,72,0.8955869907338783,128105.04217529297,True
22,-2715.868932038836,75,0.8911090557802088,136195.09643554688,True
23,-16423.776699029135,182,0.8866535105013078,353438.8207397461,True
24,-2929.281553398058,78,0.8822202429488013,170906.9481201172,True
25,-3601.228155339805,86,0.8778091417340573,174815.92919921875,True
26,-1474.990291262136,56,0.8734200960253871,130563.76989746094,True
27,-2173.7475728155337,67,0.8690529955452602,134232.72705078125,True
28,-4919.1067961165045,100,0.8647077305675338,190804.8370361328,True
29,-1262.26213592233,52,0.8603841919146962,112869.59497070312,True
30,-4821.771844660193,99,0.8560822709551227,205414.13146972656,True
31,-3872.179611650483,89,0.851801859600347,169576.10675048828,True
32,-6506.271844660197,115,0.8475428503023453,236109.9974975586,True
33,-2791.3058252427195,76,0.8433051360508336,145996.92510986328,True
34,-2896.88349514563,77,0.8390886103705794,152543.94799804688,True
35,-7802.902912621369,126,0.8348931673187264,259519.24481201172,True
36,-6753.820388349513,117,0.8307187014821328,239741.00817871094,True
37,-1203.8106796116508,51,0.8265651079747222,103209.28112792969,True
38,-1044.6504854368934,48,0.8224322824348486,92425.53540039062,True
39,-4142.330097087377,92,0.8183201210226743,194775.5008544922,True
40,-4699.009708737864,98,0.8142285204175609,205247.25762939453,True
41,-15479.00000000001,177,0.810157377815473,346764.99353027344,True
42,-2492.3252427184475,72,0.8061065909263957,161746.19024658203,True
43,-755.6262135922333,41,0.8020760579717637,98207.51196289062,True
44,-6279.655339805822,113,0.798065677681905,238140.52215576172,True
45,-4708.946601941747,98,0.7940753492934954,230984.49017333984,True
46,-2687.063106796117,75,0.7901049725470279,155735.88940429688,True
47,-541.3155339805825,36,0.7861544476842928,83122.0424194336,True
48,-1170.7330097087377,50,0.7822236754458713,106555.11645507812,True
49,-3344.174757281554,83,0.778312557068642,170933.74743652344,True
50,-887.3883495145631,44,0.7744209942832988,97595.04669189453,True
51,-11718.359223300975,154,0.7705488893118823,350208.5294189453,True
52,-6183.067961165047,112,0.7666961448653229,259537.6036376953,True
53,-2139.2475728155327,67,0.7628626641409962,154272.15045166016,True
54,-6730.461165048539,117,0.7590483508202912,258009.0684814453,True
55,-2884.2815533980583,77,0.7552531090661897,187492.44244384766,True
56,-2427.1067961165045,71,0.7514768435208588,155848.03955078125,True
57,-914.0339805825244,45,0.7477194593032545,95470.71362304688,True
58,-6621.271844660192,116,0.7439808620067382,268352.14569091797,True
59,-10788.563106796117,148,0.7402609576967045,344895.0217285156,True
60,-4298.660194174757,94,0.736559652908221,217691.17834472656,True
61,-1627.9999999999998,59,0.7328768546436799,136895.8865966797,True
62,-3701.708737864077,87,0.7292124703704616,212386.98321533203,True
63,-5721.791262135919,108,0.7255664080186093,253629.0756225586,True
64,-7055.407766990285,120,0.7219385759785162,276893.92028808594,True
65,-1834.961165048543,62,0.7183288830986236,143431.38598632812,True
66,-3005.601941747571,79,0.7147372386831305,186892.16137695312,True
67,-1526.276699029126,57,0.7111635524897149,132519.09399414062,True
68,-1320.7038834951459,53,0.7076077347272662,118385.33959960938,True
69,-3612.228155339805,86,0.7040696960536299,207503.52349853516,True
70,-5746.616504854366,108,0.7005493475733617,266882.8317871094,True
71,-3762.601941747573,88,0.697046600835495,202836.26306152344,True
72,-20405.78640776698,203,0.6935613678313175,472628.6641845703,True
73,-4829.606796116504,99,0.6900935609921609,241058.0902709961,True
74,-1326.320388349514,53,0.6866430931872001,121779.55584716797,True
75,-6178.135922330096,112,0.6832098777212641,265608.14752197266,True
76,-1904.3834951456306,63,0.6797938283326578,151625.78839111328,True
77,-968.2233009708735,46,0.6763948591909945,102976.19158935547,True
78,-2294.8495145631055,69,0.6730128848950395,165285.03387451172,True
79,-10129.713592233018,143,0.6696478204705644,355705.26092529297,True
80,-14812.975728155337,173,0.6662995813682115,447403.46075439453,True
81,-3800.7669902912635,88,0.6629680834613705,222785.0855102539,True
82,-1591.1456310679612,58,0.6596532430440636,138489.19494628906,True
83,-27146.6601941748,234,0.6563549768288433,624962.2061767578,True
84,-7345.504854368934,122,0.653073201944699,311693.3215332031,True
85,-3879.927184466021,89,0.6498078359349755,218257.92504882812,True
86,-2372.3009708737864,70,0.6465587967553006,191627.42138671875,True
87,-3543.6116504854376,85,0.6433260027715241,225768.1932373047,True
88,-2444.116504854369,71,0.6401093727576664,188274.1834716797,True
89,-2095.951456310679,66,0.6369088258938781,159097.89282226562,True
90,-1025.3786407766993,47,0.6337242817644086,131998.83715820312,True
91,-1206.1407766990294,51,0.6305556603555866,142503.8388671875,True
92,-11827.378640776707,155,0.6274028820538087,440141.12255859375,True
93,-2370.1019417475727,70,0.6242658676435396,195997.1065673828,True
94,-3372.320388349515,83,0.6211445383053219,228158.78479003906,True
95,-11874.16019417476,155,0.6180388156137953,455975.14025878906,True
96,-7783.24271844661,126,0.6149486215357263,415608.6173095703,True
97,-5037.189320388347,101,0.6118738784280476,307878.4260253906,True
98,-8178.05825242718,129,0.6088145090359074,383702.7969970703,True
99,-7969.35436893204,127,0.6057704364907278,375461.09704589844,True
100,-5591.470873786411,107,0.6027415843082742,299310.94439697266,True
101,-3758.504854368935,88,0.5997278763867329,237970.12231445312,True
102,-7943.834951456307,127,0.5967292370047992,341792.4581298828,True
103,-448.25728155339795,33,0.5937455908197752,104146.35925292969,True
104,-5415.334951456311,105,0.5907768628656763,315384.2204589844,True
105,-2547.5436893203887,73,0.5878229785513479,188032.1209716797,True
106,-21430.64563106794,208,0.5848838636585911,563877.3380126953,True
107,-3756.9029126213572,88,0.5819594443402982,267881.1876220703,True
108,-6967.14563106797,119,0.5790496471185967,352827.1572265625,True
109,-6953.101941747571,119,0.5761543988830038,361205.31701660156,True
110,-5178.242718446603,103,0.5732736268885887,286154.1672973633,True
111,-4936.470873786408,100,0.5704072587541458,284118.62615966797,True
112,-2306.2378640776697,69,0.567555222460375,195772.99548339844,True
113,-7115.990291262134,120,0.5647174463480732,351862.90075683594,True
114,-1530.6504854368934,57,0.5618938591163328,166652.5751953125,True
115,-3202.1262135922334,81,0.5590843898207511,231421.59765625,True
116,-1649.3203883495144,59,0.5562889678716474,161645.55657958984,True
117,-3397.8495145631055,84,0.5535075230322891,224896.37078857422,True
118,-2896.4029126213586,77,0.5507399854171277,222604.29754638672,True
119,-2965.490291262137,78,0.547986285490042,236775.5303955078,True
120,-10560.752427184469,146,0.5452463540625918,401144.1066894531,True
121,-3293.8203883495125,82,0.5425201222922789,253522.8720703125,True
122,-8610.174757281551,132,0.5398075216808175,380580.1896972656,True
123,-7836.567961165043,126,0.5371084840724134,373992.80700683594,True
124,-1213.4708737864073,51,0.5344229416520513,136246.2392578125,True
125,-4540.320388349514,96,0.531750826943791,264799.89489746094,True
126,-2895.1893203883506,77,0.5290920728090721,240470.61669921875,True
127,-7215.325242718441,121,0.5264466124450268,350203.9733276367,True
128,-5422.480582524274,105,0.5238143793828016,302438.0212402344,True
129,-38114.17961165043,277,0.5211953074858876,842628.5211791992,True
130,-2509.3592233009713,72,0.5185893309484582,219749.45922851562,True
131,-10238.456310679607,144,0.5159963842937159,422734.73669433594,True
132,-21933.849514563106,210,0.5134164023722473,641525.6903076172,True
133,-7947.587378640774,127,0.510849320360386,430293.17224121094,True
134,-2648.1116504854385,74,0.5082950737585841,253169.45483398438,True
135,-3877.373786407764,89,0.5057535983897912,278534.1141357422,True
