Episode,Reward,Steps,Epsilon,Loss,Done
0,-6665.601941747569,119,0.995,131194.81420898438,True
1,-2709.6456310679605,79,0.990025,111413.40747070312,True
2,-186.10194174757294,34,0.985074875,70595.98370361328,True
3,-2440.6116504854363,75,0.9801495006250001,156386.75128173828,True
4,-4207.014563106794,96,0.9752487531218751,188747.2777709961,True
5,-3221.0776699029134,85,0.9703725093562657,188228.9985961914,True
6,-1010.2038834951456,53,0.9655206468094844,133219.18811035156,True
7,-1122.1213592233005,55,0.960693043575437,146137.7362060547,True
8,-2991.6990291262164,82,0.9558895783575597,171859.42987060547,True
9,-975.8980582524271,52,0.9511101304657719,127987.3056640625,True
10,-249.266990291262,36,0.946354579813443,75270.94262695312,True
11,-5268.694174757281,106,0.9416228069143757,309408.43865966797,True
12,-1592.2233009708732,63,0.9369146928798039,172215.83697509766,True
13,-7811.4951456310655,128,0.9322301194154049,419931.29650878906,True
14,-5809.470873786407,111,0.9275689688183278,305936.8256530762,True
15,-1459.7330097087377,61,0.9229311239742362,190823.71264648438,True
16,-87.92233009708747,31,0.918316468354365,119048.6865234375,True
17,-3768.1553398058286,91,0.9137248860125932,344076.96002197266,True
18,-2915.14563106796,81,0.9091562615825302,321856.02087402344,True
19,-1002.0242718446602,53,0.9046104802746175,162411.1104736328,True
20,-444.0145631067961,41,0.9000874278732445,188526.83825683594,True
21,-3854.135922330098,92,0.8955869907338783,333690.70404052734,True
22,-1182.2718446601937,56,0.8911090557802088,180231.80725097656,True
23,80.31553398058259,25,0.8866535105013078,103741.17456054688,True
24,-762.2135922330099,48,0.8822202429488013,198151.59600830078,True
25,-6444.757281553396,117,0.8778091417340573,456652.56854248047,True
26,-3208.1747572815507,85,0.8734200960253871,318194.8760070801,True
27,-2677.388349514564,78,0.8690529955452602,287093.7266845703,True
28,-1097.956310679611,55,0.8647077305675338,198780.69848632812,True
29,-2913.582524271843,81,0.8603841919146962,308422.86517333984,True
30,-1073.3592233009706,54,0.8560822709551227,229925.54400634766,True
31,-3055.5776699029107,83,0.851801859600347,334523.9317626953,True
32,-23.932038834951356,29,0.8475428503023453,138766.6015625,True
33,-5451.126213592235,108,0.8433051360508336,473609.1384277344,True
34,-137.89805825242712,33,0.8390886103705794,135101.95281982422,True
35,-1126.5485436893198,55,0.8348931673187264,222599.44384765625,True
36,-4202.402912621362,96,0.8307187014821328,401515.47760009766,True
37,-527.47572815534,43,0.8265651079747222,186627.18286132812,True
38,-532.3349514563106,43,0.8224322824348486,178846.89385986328,True
39,-1473.8543689320393,61,0.8183201210226743,228484.4818725586,True
40,-184.4174757281553,34,0.8142285204175609,162663.17846679688,True
41,-4505.398058252426,99,0.810157377815473,454881.4942626953,True
42,-1065.5436893203878,54,0.8061065909263957,286336.3497314453,True
43,-5872.2427184466005,112,0.8020760579717637,552225.3188476562,True
44,-4012.7815533980556,94,0.798065677681905,462866.8229980469,True
45,-2550.04854368932,77,0.7940753492934954,376441.4074707031,True
46,-450.995145631068,41,0.7901049725470279,224475.52087402344,True
47,-933.8932038834946,52,0.7861544476842928,195912.0029296875,True
48,-3552.446601941749,89,0.7822236754458713,460365.8528442383,True
49,-1582.54854368932,63,0.778312557068642,249171.64099121094,True
50,-5013.135922330106,104,0.7744209942832988,466362.9606933594,True
51,-866.5679611650487,50,0.7705488893118823,235574.4208984375,True
52,-110.58737864077659,32,0.7666961448653229,134888.01593017578,True
53,-1589.155339805825,63,0.7628626641409962,373143.7977294922,True
54,-669.5194174757282,46,0.7590483508202912,206872.86279296875,True
55,-1837.1213592233007,67,0.7552531090661897,350162.8557128906,True
56,-4700.8446601941705,101,0.7514768435208588,551415.6264038086,True
57,-417.53398058252446,40,0.7477194593032545,248026.56396484375,True
58,-4519.567961165049,99,0.7439808620067382,554460.8979492188,True
59,-1633.1019417475725,64,0.7402609576967045,308813.14447021484,True
60,-2402.548543689321,75,0.736559652908221,350984.10650634766,True
61,-1167.3252427184468,56,0.7328768546436799,323513.30920410156,True
62,-2035.4417475728155,70,0.7292124703704616,399752.17932128906,True
63,-4436.242718446604,98,0.7255664080186093,551383.8075561523,True
64,-4412.480582524273,98,0.7219385759785162,557069.073425293,True
65,-2882.2233009708752,81,0.7183288830986236,431488.97705078125,True
66,-121.03883495145635,32,0.7147372386831305,173607.20989990234,True
67,-1911.4271844660198,68,0.7111635524897149,370992.4560546875,True
68,-6574.57281553398,118,0.7076077347272662,645809.3303833008,True
69,-1562.1310679611654,63,0.7040696960536299,355318.1354370117,True
70,-1853.3300970873793,67,0.7005493475733617,334173.04290771484,True
71,-1413.3640776699021,60,0.697046600835495,309613.33740234375,True
72,-3195.8932038834955,85,0.6935613678313175,404035.07928466797,True
73,-22573.67961165047,214,0.6900935609921609,1219051.3272094727,True
74,-1000.466019417476,53,0.6866430931872001,334965.4017944336,True
75,-1188.6262135922325,56,0.6832098777212641,312895.0935058594,True
76,-704.0485436893205,47,0.6797938283326578,322078.6164550781,True
77,-1267.5436893203882,58,0.6763948591909945,307988.0821533203,True
78,-4134.999999999997,95,0.6730128848950395,500628.0910644531,True
79,-2593.4999999999986,77,0.6696478204705644,496816.0220336914,True
80,-2777.281553398059,80,0.6662995813682115,502980.7860107422,True
81,-6306.543689320386,116,0.6629680834613705,572037.7251586914,True
82,-214.86407766990283,35,0.6596532430440636,190658.38897705078,True
83,-1471.509708737863,61,0.6563549768288433,335001.1996459961,True
84,-1123.8349514563106,55,0.653073201944699,317380.453125,True
85,-866.7378640776701,50,0.6498078359349755,250973.47625732422,True
86,-4508.941747572816,99,0.6465587967553006,586349.4899291992,True
87,-2371.4271844660198,74,0.6433260027715241,447774.2747192383,True
88,-3868.8446601941746,92,0.6401093727576664,473836.3493041992,True
89,-664.2961165048547,46,0.6369088258938781,287472.5694580078,True
90,-10995.072815533973,151,0.6337242817644086,769725.8264160156,True
91,-6681.995145631074,119,0.6305556603555866,704013.7685546875,True
92,-3665.2718446601943,90,0.6274028820538087,472552.89611816406,True
93,-27170.946601941752,235,0.6242658676435396,1411934.995666504,True
94,-1695.9126213592226,65,0.6211445383053219,334339.21716308594,True
95,-9009.364077669896,137,0.6180388156137953,815633.4724731445,True
96,-12043.888349514567,158,0.6149486215357263,1019757.766784668,True
97,-6118.781553398058,114,0.6118738784280476,743824.5614013672,True
98,-1587.8786407766981,63,0.6088145090359074,354133.05895996094,True
99,-5343.402912621364,107,0.6057704364907278,696265.9481201172,True
100,-3811.3009708737873,92,0.6027415843082742,602207.2821044922,True
101,-2412.771844660193,75,0.5997278763867329,497064.16314697266,True
102,-358.65533980582507,39,0.5967292370047992,343832.7899169922,True
103,-2967.660194174756,82,0.5937455908197752,529312.2122192383,True
104,-8447.873786407763,133,0.5907768628656763,797258.8905029297,True
105,-5978.815533980586,113,0.5878229785513479,789771.8110961914,True
106,-8586.189320388352,134,0.5848838636585911,867495.4749145508,True
107,-483.7524271844658,42,0.5819594443402982,237533.4080810547,True
108,-10272.87378640777,146,0.5790496471185967,998277.2109985352,True
109,-3759.912621359222,91,0.5761543988830038,681214.9600219727,True
110,-1060.029126213592,54,0.5732736268885887,370313.12689208984,True
111,-7222.932038834945,123,0.5704072587541458,816176.5054931641,True
112,-9631.339805825239,142,0.567555222460375,997896.1674804688,True
113,-3381.66990291262,87,0.5647174463480732,738135.3162841797,True
114,-8072.315533980582,130,0.5618938591163328,1036364.1870727539,True
115,-4323.12621359223,97,0.5590843898207511,808005.6227416992,True
116,-4119.029126213592,95,0.5562889678716474,702988.7249145508,True
117,-5040.2378640776715,104,0.5535075230322891,764847.0060424805,True
118,-28136.737864077713,239,0.5507399854171277,1751199.3513793945,True
119,-888.7621359223301,51,0.547986285490042,406282.9288330078,True
120,-5110.053398058257,105,0.5452463540625918,818698.6813354492,True
121,-2052.747572815534,70,0.5425201222922789,612588.2478637695,True
122,-6223.466019417475,115,0.5398075216808175,1065410.8449707031,True
123,-7161.0436893203905,123,0.5371084840724134,959762.8101806641,True
124,-2578.6553398058263,77,0.5344229416520513,570610.1150512695,True
125,-4703.17475728155,101,0.531750826943791,839234.4468994141,True
126,-5661.558252427189,110,0.5290920728090721,827929.6870727539,True
127,-10967.252427184465,151,0.5264466124450268,1314163.3149414062,True
128,-4935.359223300971,103,0.5238143793828016,879188.7855224609,True
129,-1875.6893203883492,67,0.5211953074858876,542504.6254882812,True
130,-10531.514563106803,148,0.5185893309484582,1156687.4299316406,True
131,-3551.2669902912626,89,0.5159963842937159,590997.0025024414,True
132,-4124.776699029127,95,0.5134164023722473,740463.2715454102,True
133,-4643.451456310677,100,0.510849320360386,850945.3029174805,True
134,-443.99514563106777,41,0.5082950737585841,371654.61962890625,True
135,-6493.131067961157,117,0.5057535983897912,1068680.8563842773,True
136,-478.8495145631067,42,0.5032248303978422,334804.39862060547,True
137,-1984.7766990291257,69,0.500708706245853,602979.5383911133,True
138,-2946.131067961166,82,0.4982051627146237,781081.6473388672,True
139,-8068.572815533984,130,0.49571413690105054,1140467.3305664062,True
140,-4089.830097087379,95,0.4932355662165453,894107.2198486328,True
141,-5558.8203883495125,109,0.4907693883854626,997625.9798583984,True
142,-4156.91262135922,95,0.4883155414435353,773354.7940673828,True
143,-2371.3640776699003,74,0.4858739637363176,731666.7326660156,True
144,-9214.898058252427,139,0.483444593917636,1094724.9802856445,True
145,-8076.873786407767,130,0.4810273709480478,992620.8270263672,True
146,-5903.59223300971,112,0.47862223409330756,846238.1667480469,True
147,-4016.305825242721,94,0.47622912292284103,804066.9750366211,True
148,-29892.15048543689,246,0.4738479773082268,2392956.0955810547,True
149,-9276.864077669898,139,0.47147873742168567,1331831.8763427734,True
150,-1786.5436893203878,66,0.46912134373457726,622803.02734375,True
151,-2255.6990291262164,73,0.46677573701590436,683487.1473388672,True
152,-32645.063106796148,257,0.46444185833082485,2070604.2258300781,True
153,-8171.669902912614,131,0.46211964903917074,1099756.5880126953,True
154,-7760.257281553391,128,0.4598090507939749,1185229.755493164,True
155,-10014.097087378634,144,0.457510005540005,1165812.6990966797,True
156,-3832.898058252429,92,0.45522245551230495,635768.3541259766,True
157,-2276.805825242718,73,0.4529463432347434,671195.8286132812,True
158,-3649.810679611655,90,0.4506816115185697,753793.3005371094,True
159,-13220.92718446601,165,0.4484282034609769,1555123.918334961,True
160,-9246.631067961176,139,0.446186062443672,1219400.3630371094,True
161,-585.893203883495,44,0.4439551321314536,452071.6728515625,True
162,-3460.8155339805826,88,0.4417353564707963,982589.8477783203,True
163,-5351.898058252429,107,0.43952667968844233,1063518.3049316406,True
164,-3393.6650485436903,87,0.43732904629000013,779143.0256347656,True
165,-3846.383495145632,92,0.4351424010585501,854229.0399169922,True
166,-1604.8155339805826,63,0.43296668905325736,675429.525390625,True
167,-4951.213592233011,103,0.43080185560799106,845822.9750366211,True
168,-4193.063106796121,96,0.4286478463299511,844240.5533447266,True
169,-32925.893203883476,258,0.42650460709830135,2432275.7994384766,True
170,-2821.533980582523,80,0.42437208406280985,692993.1082763672,True
171,-4729.485436893207,101,0.4222502236424958,881453.17578125,True
172,-855.1213592233014,50,0.42013897252428334,551443.4056396484,True
173,-40250.47087378636,285,0.4180382776616619,2630568.170288086,True
174,-3557.8203883495153,89,0.4159480862733536,889612.7747802734,True
175,-2224.961165048543,72,0.41386834584198684,702046.7526855469,True
176,-17248.6650485437,188,0.4117990041127769,2192362.5345458984,True
177,-4602.810679611654,100,0.40974000909221303,962258.3236083984,True
178,-4152.567961165048,95,0.40769130904675194,871043.5300292969,True
179,-9741.902912621354,142,0.40565285250151817,1501724.0858154297,True
180,-12572.922330097108,161,0.4036245882390106,1848466.0187988281,True
181,-29821.063106796108,246,0.4016064652978155,2317627.622314453,True
182,-10424.053398058271,147,0.3995984329713264,1674301.6287841797,True
183,-7934.000000000005,129,0.3976004408064698,1776689.3291015625,True
184,-11578.145631067942,155,0.39561243860243744,1905698.900390625,True
185,-19417.781553398076,199,0.3936343764094253,2083536.427734375,True
186,-4833.66990291262,102,0.39166620452737816,1163251.7282714844,True
187,-7576.917475728153,126,0.3897078735047413,1428144.126586914,True
188,-5698.20873786408,110,0.3877593341372176,1235236.6567382812,True
189,-11784.752427184474,156,0.3858205374665315,1583216.8186035156,True
190,-817.9757281553398,49,0.38389143477919885,461630.2294921875,True
191,-4559.077669902917,100,0.3819719776053028,1313551.0850830078,True
192,-11007.009708737864,151,0.3800621177172763,1387856.3508300781,True
193,-9118.203883495142,138,0.37816180712868996,1604590.9591064453,True
194,-10965.766990291266,151,0.37627099809304654,1854906.0764160156,True
195,-12126.160194174778,158,0.3743896431025813,1823588.0891113281,True
196,-15738.46116504854,180,0.37251769488706843,2126204.079345703,True
197,-12740.58252427187,162,0.3706551064126331,2014914.2170410156,True
198,-20337.791262135892,204,0.36880183088056995,2292360.533203125,True
199,-8036.626213592235,130,0.3669578217261671,1532971.2039794922,True
200,-3232.830097087375,85,0.36512303261753626,832365.3323974609,True
201,-4937.4805825242665,103,0.3632974174544486,1146911.8431396484,True
202,-11901.78155339805,157,0.3614809303671764,1921125.325805664,True
203,-15625.796116504851,179,0.3596735257153405,2415992.1071777344,True
204,-11265.480582524277,153,0.3578751580867638,1910225.3422851562,True
205,-16140.820388349519,182,0.35608578229633,1934335.4520263672,True
206,-2822.6407766990274,80,0.3543053533848483,864878.763671875,True
207,-19773.247572815537,201,0.35253382661792404,2475014.4321289062,True
208,-6689.218446601948,119,0.3507711574848344,1330785.1567382812,True
209,-2312.2524271844645,74,0.34901730169741024,841480.7938232422,True
210,-1764.0048543689315,66,0.3472722151889232,816364.8475341797,True
211,-17262.941747572822,188,0.3455358541129786,2235814.904296875,True
212,-8048.218446601939,130,0.3438081748424137,1652391.105102539,True
213,-10542.902912621348,148,0.3420891339682016,1900709.3498535156,True
214,-4702.344660194179,101,0.3403786882983606,1247774.6352539062,True
215,-18402.441747572837,194,0.3386767948568688,2783432.5546875,True
216,-5529.38349514564,109,0.33698341088258443,1179899.9849853516,True
217,-13559.145631067953,167,0.3352984938281715,1774051.1583251953,True
218,-10819.199029126223,150,0.33362200135903064,2009669.2861328125,True
219,-8744.766990291266,135,0.33195389135223546,1660851.0430908203,True
220,-18216.995145631077,193,0.3302941218954743,2412360.4315185547,True
221,-40219.796116504855,285,0.32864265128599696,3261012.989013672,True
222,-6233.684466019416,115,0.326999438029567,1226026.2770996094,True
223,-13944.902912621366,169,0.3253644408394192,2281025.8411865234,True
224,-9174.004854368937,138,0.3237376186352221,1953201.2275390625,True
225,-61857.19902912604,353,0.322118930542046,4460675.660522461,True
226,-13270.810679611644,165,0.32050833588933575,2132725.242919922,True
227,-16563.762135922356,184,0.31890579420988907,2294353.325317383,True
228,-38628.47087378643,279,0.3173112652388396,3771413.1540527344,True
229,-8614.276699029135,134,0.3157247089126454,1773649.7556152344,True
230,-11745.766990291257,156,0.3141460853680822,2018610.3515625,True
231,-8890.41747572815,136,0.3125753549412418,2179257.4858398438,True
232,-20193.359223300933,203,0.31101247816653554,2811822.8791503906,True
233,-20013.271844660183,202,0.30945741577570285,2677179.6591796875,True
234,-6834.354368932035,120,0.3079101286968243,1644443.7509765625,True
235,-18288.17961165048,193,0.3063705780533402,2745367.6572265625,True
236,-9451.233009708745,140,0.30483872516307353,2189150.6118164062,True
237,-6252.26213592234,115,0.3033145315372582,1875691.3474121094,True
238,-22290.04368932036,213,0.3017979588795719,3050420.1872558594,True
239,-14609.16019417479,173,0.30028896908517405,2353653.4650878906,True
240,-61168.422330096946,351,0.2987875242397482,4905741.358154297,True
241,-8053.737864077666,130,0.29729358661854943,1698022.8017578125,True
242,-17317.66504854369,188,0.29580711868545667,2544445.2548828125,True
243,-75391.61650485435,389,0.2943280830920294,5733401.399536133,True
244,-19148.106796116517,198,0.29285644267656924,3052593.9899902344,True
245,-30408.694174757286,248,0.2913921604631864,4230457.255981445,True
246,-5436.796116504852,108,0.28993519966087045,1654036.2243652344,True
247,-28146.64563106795,239,0.2884855236625661,4312334.450439453,True
248,-17933.441747572815,191,0.28704309604425327,3382014.844482422,True
249,-8721.072815533997,135,0.285607880564032,2006097.8205566406,True
250,-31354.499999999978,252,0.28417984116121187,3267403.1572265625,True
251,-79600.68446601933,400,0.2827589419554058,6908925.689208984,False
252,-29106.61165048551,243,0.28134514724562876,4037478.1591796875,True
253,-79569.32038834953,400,0.2799384215094006,7041290.639404297,False
254,-2898.92718446602,81,0.27853872940185365,1752602.6062011719,True
255,-8597.349514563113,134,0.27714603575484437,2504553.4609375,True
256,-22691.417475728198,215,0.2757603055760701,4220198.637207031,True
257,-9253.917475728169,139,0.2743815040481898,2756696.09765625,True
258,-10180.514563106797,145,0.2730095965279488,3088918.8630371094,True
259,-15968.665048543713,181,0.27164454854530906,3035032.110107422,True
260,-17672.6504854369,190,0.2702863258025825,3630611.6013183594,True
261,-55732.475728155325,335,0.2689348941735696,6403517.2451171875,True
262,-15305.781553398085,177,0.26759021970270175,3390115.7241210938,True
263,-19401.242718446578,199,0.2662522686041882,4004437.5908203125,True
264,-18286.18932038832,193,0.2649210072611673,3933506.8139648438,True
265,-3658.6310679611665,90,0.26359640222486147,2340495.353515625,True
266,-10359.946601941756,147,0.26227842021373715,3162503.7475585938,True
267,-69146.7135922329,373,0.2609670281126685,7884777.437255859,True
268,-9291.058252427176,139,0.25966219297210513,2755345.7788085938,True
269,-28752.611650485385,241,0.2583638820072446,4808804.675048828,True
270,-52495.94174757278,325,0.2570720625972084,6511182.939697266,True
271,-78410.59708737869,397,0.25578670228422234,7896178.3798828125,True
272,-16615.57281553398,184,0.25450776877280124,4470005.597167969,True
273,-7668.131067961165,127,0.2532352299289372,3281937.7348632812,True
274,-3641.7135922330144,90,0.2519690537792925,2416509.5322265625,True
275,-40816.50970873785,287,0.2507092085103961,6450687.658203125,True
276,-9156.300970873768,138,0.2494556624678441,3342454.921875,True
277,-12879.868932038848,163,0.24820838415550486,3060497.0224609375,True
278,-27462.616504854355,236,0.24696734223472733,5548846.517333984,True
279,-15777.757281553384,180,0.2457325055235537,3877737.4340820312,True
280,-63652.37864077676,358,0.24450384299593592,7571070.164550781,True
281,-13018.873786407767,164,0.24328132378095624,3760019.0615234375,True
282,-34234.49514563107,263,0.24206491716205145,5813566.572265625,True
283,-31815.93689320388,254,0.2408545925762412,5485767.373535156,True
284,-4883.2718446601975,103,0.23965031961336,2546551.3178710938,True
285,-35750.18446601953,269,0.2384520680152932,5478206.9501953125,True
286,-23890.446601941734,220,0.23725980767521673,4843383.5732421875,True
287,-79570.94660194183,400,0.23607350863684065,8778108.057617188,False
288,-23379.54368932041,218,0.23489314109365644,4774174.851074219,True
289,-15946.893203883514,181,0.23371867538818816,4055793.0732421875,True
290,-41626.55825242714,290,0.23255008201124722,6042993.812011719,True
291,-26336.194174757315,231,0.231387331601191,5122147.056152344,True
292,-43688.48543689317,297,0.23023039494318503,6625422.813964844,True
293,-40856.24271844663,287,0.2290792429684691,5364816.437011719,True
294,-8877.781553398061,136,0.22793384675362674,2677964.6147460938,True
295,-15887.043689320404,180,0.22679417751985861,4337245.630859375,True
296,-3546.0048543689313,89,0.22566020663225933,2100336.9858398438,True
297,-79610.48058252424,400,0.22453190559909803,9958348.34790039,False
298,-16763.713592233013,185,0.22340924607110255,4528503.244628906,True
299,-9594.024271844663,141,0.22229219984074702,3254482.3559570312,True
300,-79712.50485436882,400,0.2211807388415433,8981249.000976562,False
301,-38474.95145631063,279,0.22007483514733558,6429311.645019531,True
302,-8672.417475728145,135,0.2189744609715989,3521631.607421875,True
303,-58074.66504854371,342,0.2178795886667409,7644535.357421875,True
304,-68708.98058252453,372,0.2167901907234072,8811473.506835938,True
305,-6202.708737864082,115,0.21570623976979014,2792835.2563476562,True
306,-16067.174757281526,181,0.21462770857094118,4969932.3017578125,True
307,-11461.087378640781,154,0.21355457002808648,3768624.3813476562,True
308,-63283.83495145622,357,0.21248679717794605,8369632.615722656,True
309,-19407.80582524273,199,0.21142436319205632,5214450.802734375,True
310,-14048.42718446604,170,0.21036724137609603,4297293.702636719,True
311,-25412.247572815504,227,0.20931540516921554,5810976.969238281,True
312,-16518.470873786406,184,0.20826882814336947,3766925.0493164062,True
313,-19843.9077669903,201,0.20722748400265262,4341400.675292969,True
314,-19819.485436893174,201,0.20619134658263935,4873087.478027344,True
315,-23551.66504854366,219,0.20516038984972615,4257455.115234375,True
316,-28180.23786407761,239,0.2041345879004775,5946386.021972656,True
317,-21328.111650485436,208,0.2031139149609751,5133442.577636719,True
318,-35337.378640776726,267,0.20209834538617025,5527360.518066406,True
319,-26300.10194174756,231,0.2010878536592394,6206892.6396484375,True
320,-21607.00970873788,210,0.2000824143909432,4713492.7734375,True
321,-25602.888349514535,228,0.19908200231898848,4721546.554199219,True
322,-76962.8203883494,393,0.19808659230739353,9116179.84765625,True
323,-4543.733009708738,99,0.19709615934585656,2439100.0439453125,True
324,-21099.349514563084,207,0.19611067854912728,5237875.841796875,True
325,-15231.825242718454,177,0.19513012515638165,3756664.3237304688,True
326,-28367.23786407763,240,0.19415447453059972,5732582.933105469,True
327,-19589.179611650485,200,0.19318370215794672,5158919.6513671875,True
328,-35077.55825242716,266,0.192217783647157,5528138.160644531,True
329,-17131.635922330097,187,0.1912566947289212,3760740.3271484375,True
330,-33689.339805825286,261,0.1903004112552766,5879119.979003906,True
331,-6617.111650485435,118,0.18934890919900021,2646377.4819335938,True
332,-79531.3203883493,400,0.18840216465300522,8240619.8916015625,False
333,-17666.368932038822,190,0.18746015382974018,4147119.44921875,True
334,-58726.703883495364,344,0.1865228530605915,7396364.522949219,True
335,-10474.097087378635,147,0.18559023879528855,3864646.3793945312,True
336,-54537.44174757271,331,0.1846622876013121,7960088.886230469,True
337,-45816.43203883498,304,0.18373897616330553,6572478.077636719,True
338,-30659.96601941745,249,0.182820281282489,5287653.4140625,True
339,-63321.674757281384,357,0.18190617987607657,9017237.401367188,True
340,-19059.04854368929,197,0.18099664897669618,4691874.833984375,True
341,-18381.907766990265,194,0.1800916657318127,4531909.267333984,True
342,-12441.184466019415,160,0.17919120740315364,3721992.8486328125,True
343,-30629.47087378644,249,0.17829525136613786,5079408.9599609375,True
344,-56150.13106796107,336,0.17740377510930716,8219767.400878906,True
345,-48030.378640776704,311,0.17651675623376062,6800984.792480469,True
346,-10085.577669902907,145,0.1756341724525918,3179275.4462890625,True
347,-18250.752427184474,193,0.17475600159032884,4411059.9111328125,True
348,-22037.75728155339,212,0.17388222158237718,4831240.336669922,True
349,-77549.43689320411,395,0.1730128104744653,7832929.471923828,True
350,-14807.09708737862,174,0.17214774642209296,4403625.2880859375,True
351,-72426.92233009743,382,0.1712870076899825,8901074.508300781,True
352,-32879.02912621357,258,0.17043057265153258,5276961.87890625,True
353,-45796.31553398047,304,0.16957841978827493,7014312.064941406,True
354,-21278.567961165074,208,0.16873052768933355,4845081.4658203125,True
355,-9167.427184466012,138,0.1678868750508869,3127134.8837890625,True
