Episode,Reward,Steps,Epsilon,Loss
0,-135.8,77,0.995,0
1,-263.27500000000003,108,0.990025,0
2,-464.125,135,0.985074875,0
3,-75.25,61,0.9801495006250001,0
4,-810.0000000000001,180,0.9752487531218751,0
5,-57.025,53,0.9703725093562657,0
6,-58.300000000000004,52,0.9655206468094844,0
7,-217.525,98,0.960693043575437,0
8,-85.27499999999999,63,0.9558895783575597,0
9,-297.3,112,0.9511101304657719,0
10,-744.675,174,0.946354579813443,0
11,-632.875,161,0.9416228069143757,0
12,-41.75,51,0.9369146928798039,0
13,-486.65000000000003,143,0.9322301194154049,0
14,-438.92499999999995,139,0.9275689688183278,0
15,-21.525000000000002,33,0.9229311239742362,0
16,-129.525,78,0.918316468354365,0
17,-187.3,94,0.9137248860125932,0
18,-127.25,70,0.9091562615825302,0
19,-221.15,98,0.9046104802746175,0
20,-194.3,94,0.9000874278732445,0
21,-181.14999999999998,88,0.8955869907338783,0
22,-193.75,95,0.8911090557802088,0
23,-156.625,81,0.8866535105013078,0
24,-109.175,72,0.8822202429488013,0
25,-36.425,47,0.8778091417340573,0
26,-79.14999999999999,63,0.8734200960253871,0
27,-163.675,84,0.8690529955452602,0
28,-73.775,58,0.8647077305675338,0
29,-92.175,69,0.8603841919146962,0
30,-28.3,42,0.8560822709551227,0
31,-75.5,60,0.851801859600347,0
32,-133.775,78,0.8475428503023453,0
33,-60.675,57,0.8433051360508336,0
34,-113.425,72,0.8390886103705794,0
35,-98.3,69,0.8348931673187264,0
36,-399.75,130,0.8307187014821328,0
37,-269.77500000000003,108,0.8265651079747222,0
38,-62.025,58,0.8224322824348486,0
39,-168.0,86,0.8183201210226743,0
40,-304.175,117,0.8142285204175609,0
41,-192.4,98,0.810157377815473,0
42,-197.025,93,0.8061065909263957,0
43,-176.675,87,0.8020760579717637,0
44,-102.425,69,0.798065677681905,0
45,-555.05,157,0.7940753492934954,0
46,-119.925,77,0.7901049725470279,0
47,-53.50000000000001,50,0.7861544476842928,0
48,-77.77499999999999,63,0.7822236754458713,0
49,-405.5,131,0.778312557068642,0
50,-11.05,29,0.7744209942832988,0
51,-229.39999999999998,103,0.7705488893118823,0
52,-16.275000000000002,33,0.7666961448653229,0
53,-50.3,52,0.7628626641409962,0
54,-35.675,49,0.7590483508202912,0
55,-106.425,72,0.7552531090661897,0
56,-9.55,24,0.7514768435208588,0
57,-131.55,82,0.7477194593032545,0
58,-452.75,141,0.7439808620067382,0
59,-105.02499999999999,73,0.7402609576967045,0
60,-90.30000000000001,67,0.736559652908221,0
61,-36.875,46,0.7328768546436799,0
62,-59.925,59,0.7292124703704616,0
63,-101.75,71,0.7255664080186093,0
64,-410.625,131,0.7219385759785162,0
65,-64.14999999999999,58,0.7183288830986236,0
66,-626.3,162,0.7147372386831305,0
67,-177.12499999999997,96,0.7111635524897149,0
68,-438.925,139,0.7076077347272662,0
69,-53.05,54,0.7040696960536299,0
70,-259.55,107,0.7005493475733617,0
71,-37.8,47,0.697046600835495,0
72,-182.875,91,0.6935613678313175,0
73,-43.25,51,0.6900935609921609,0
74,-190.55,92,0.6866430931872001,0
75,-34.62500000000001,45,0.6832098777212641,0
76,-135.8,79,0.6797938283326578,0
77,-34.87500000000001,46,0.6763948591909945,0
78,-44.05,52,0.6730128848950395,0
79,-250.925,104,0.6696478204705644,0
80,-279.875,111,0.6662995813682115,0
81,-172.375,91,0.6629680834613705,0
82,-123.125,75,0.6596532430440636,0
83,-308.175,117,0.6563549768288433,0
84,-171.3,87,0.653073201944699,0
85,-528.8,152,0.6498078359349755,0
86,-124.925,74,0.6465587967553006,0
87,-188.05,89,0.6433260027715241,0
88,-264.375,110,0.6401093727576664,0
89,-175.425,89,0.6369088258938781,0
90,-117.75,75,0.6337242817644086,0
91,-194.875,96,0.6305556603555866,0
92,-1135.8000000000002,219,0.6274028820538087,0
93,-118.425,74,0.6242658676435396,0
94,-95.375,70,0.6211445383053219,0
95,-610.675,164,0.6180388156137953,0
96,-227.775,103,0.6149486215357263,0
97,-134.525,78,0.6118738784280476,0
98,-216.3,104,0.6088145090359074,0
99,-194.8,97,0.6057704364907278,0
100,-170.8,87,0.6027415843082742,0
101,-536.5,151,0.5997278763867329,0
102,-203.05,97,0.5967292370047992,0
103,-51.3,52,0.5937455908197752,0
104,-719.5500000000001,174,0.5907768628656763,0
105,-145.425,82,0.5878229785513479,0
106,-186.425,94,0.5848838636585911,0
107,-6.550000000000001,27,0.5819594443402982,0
108,-238.37499999999997,106,0.5790496471185967,0
109,-1153.7500000000002,221,0.5761543988830038,0
110,-204.4,98,0.5732736268885887,0
111,-392.25,131,0.5704072587541458,0
112,-76.55,64,0.567555222460375,0
113,-121.175,79,0.5647174463480732,0
114,-91.14999999999999,68,0.5618938591163328,0
115,-573.025,158,0.5590843898207511,0
116,-281.875,106,0.5562889678716474,0
117,-112.925,72,0.5535075230322891,0
118,-39.925,47,0.5507399854171277,0
119,-62.0,56,0.547986285490042,0
120,-570.9,158,0.5452463540625918,0
121,-443.5,135,0.5425201222922789,0
122,-142.55,84,0.5398075216808175,0
123,-320.27500000000003,118,0.5371084840724134,0
124,-314.925,119,0.5344229416520513,0
125,-831.8,187,0.531750826943791,0
126,-292.875,116,0.5290920728090721,0
127,-131.375,81,0.5264466124450268,0
128,-870.15,193,0.5238143793828016,0
129,-308.15000000000003,118,0.5211953074858876,0
130,-234.625,105,0.5185893309484582,0
131,-32.050000000000004,49,0.5159963842937159,0
132,-65.425,57,0.5134164023722473,0
133,-35.375,45,0.510849320360386,0
134,-648.875,161,0.5082950737585841,0
135,-124.875,75,0.5057535983897912,0
136,-215.925,99,0.5032248303978422,0
137,-31.500000000000004,50,0.500708706245853,0
138,-300.05,117,0.4982051627146237,0
139,-141.8,87,0.49571413690105054,0
140,-247.55,104,0.4932355662165453,0
141,-326.55,119,0.4907693883854626,0
142,-138.75,81,0.4883155414435353,0
143,-97.27499999999999,68,0.4858739637363176,0
144,-348.75,126,0.483444593917636,0
145,-825.5,191,0.4810273709480478,0
146,-72.05,59,0.47862223409330756,0
147,-180.25,90,0.47622912292284103,0
148,-355.3,127,0.4738479773082268,0
149,-120.175,77,0.47147873742168567,0
150,-573.9250000000001,157,0.46912134373457726,0
151,-100.425,74,0.46677573701590436,0
152,-156.75,90,0.46444185833082485,0
153,-331.25,121,0.46211964903917074,0
154,-478.3,142,0.4598090507939749,0
155,-555.1250000000001,160,0.457510005540005,0
156,-898.425,192,0.45522245551230495,0
157,-157.65,83,0.4529463432347434,0
158,-1105.05,209,0.4506816115185697,0
159,-652.0,170,0.4484282034609769,0
160,-336.675,122,0.446186062443672,0
161,-282.175,114,0.4439551321314536,0
162,-252.49999999999997,105,0.4417353564707963,0
163,-673.125,170,0.43952667968844233,0
164,-423.175,139,0.43732904629000013,0
165,-637.65,163,0.4351424010585501,0
