Episode,Reward,Steps,Epsilon,Loss
0,3.375,78,0.995,0
1,6.375,63,0.990025,0
2,13.0,64,0.985074875,0
3,16.25,99,0.9801495006250001,0
4,25.125,97,0.9752487531218751,0
5,6.25,85,0.9703725093562657,0
6,2.25,201,0.9655206468094844,0
7,12.0,85,0.960693043575437,0
8,8.875,92,0.9558895783575597,0
9,12.625,65,0.9511101304657719,0
10,17.375,128,0.946354579813443,0
11,9.5,117,0.9416228069143757,0
12,14.875,60,0.9369146928798039,0
13,17.375,83,0.9322301194154049,0
14,16.5,68,0.9275689688183278,0
15,14.125,37,0.9229311239742362,0
16,26.625,51,0.918316468354365,0
17,9.25,96,0.9137248860125932,0
18,9.375,37,0.9091562615825302,0
19,12.0,48,0.9046104802746175,0
20,8.125,92,0.9000874278732445,0
21,43.125,87,0.8955869907338783,0
22,17.125,56,0.8911090557802088,0
23,3.875,121,0.8866535105013078,0
24,18.0,61,0.8822202429488013,0
25,20.0,81,0.8778091417340573,0
26,26.625,93,0.8734200960253871,0
27,16.5,81,0.8690529955452602,0
28,24.375,61,0.8647077305675338,0
29,32.0,151,0.8603841919146962,0
30,-1.375,99,0.8560822709551227,0
31,13.75,71,0.851801859600347,0
32,17.0,61,0.8475428503023453,0
33,18.75,89,0.8433051360508336,0
34,18.125,46,0.8390886103705794,0
35,16.625,72,0.8348931673187264,0
36,23.0,67,0.8307187014821328,0
37,9.625,65,0.8265651079747222,0
38,25.125,95,0.8224322824348486,0
39,17.625,52,0.8183201210226743,0
40,23.875,82,0.8142285204175609,0
41,25.875,66,0.810157377815473,0
42,19.125,87,0.8061065909263957,0
43,21.25,67,0.8020760579717637,0
44,11.5,70,0.798065677681905,0
45,47.125,163,0.7940753492934954,0
46,16.625,69,0.7901049725470279,0
47,28.875,85,0.7861544476842928,0
48,14.25,53,0.7822236754458713,0
49,21.75,119,0.778312557068642,0
50,4.0,49,0.7744209942832988,0
51,9.875,58,0.7705488893118823,0
52,26.25,72,0.7666961448653229,0
53,18.875,56,0.7628626641409962,0
54,19.25,54,0.7590483508202912,0
55,35.0,86,0.7552531090661897,0
56,11.625,54,0.7514768435208588,0
57,23.875,74,0.7477194593032545,0
58,14.125,57,0.7439808620067382,0
59,20.75,62,0.7402609576967045,0
60,24.375,70,0.736559652908221,0
61,16.875,45,0.7328768546436799,0
62,12.375,30,0.7292124703704616,0
63,27.0,70,0.7255664080186093,0
64,19.375,79,0.7219385759785162,0
65,10.5,104,0.7183288830986236,0
66,13.375,121,0.7147372386831305,0
67,20.875,114,0.7111635524897149,0
68,47.875,122,0.7076077347272662,0
69,20.375,129,0.7040696960536299,0
70,5.375,23,0.7005493475733617,0
71,20.625,67,0.697046600835495,0
72,52.375,110,0.6935613678313175,0
73,8.875,124,0.6900935609921609,0
74,9.125,49,0.6866430931872001,0
75,10.0,42,0.6832098777212641,0
76,27.125,79,0.6797938283326578,0
77,20.0,108,0.6763948591909945,0
78,13.5,78,0.6730128848950395,0
79,9.875,48,0.6696478204705644,0
80,14.0,37,0.6662995813682115,0
81,33.5,68,0.6629680834613705,0
82,32.625,70,0.6596532430440636,0
83,9.0,64,0.6563549768288433,0
84,69.375,142,0.653073201944699,0
85,29.25,80,0.6498078359349755,0
86,16.125,80,0.6465587967553006,0
87,25.625,69,0.6433260027715241,0
88,16.125,92,0.6401093727576664,0
89,21.875,71,0.6369088258938781,0
90,38.625,96,0.6337242817644086,0
91,27.75,80,0.6305556603555866,0
92,10.5,75,0.6274028820538087,0
93,42.625,117,0.6242658676435396,0
94,52.5,189,0.6211445383053219,0
95,25.875,73,0.6180388156137953,0
96,27.375,71,0.6149486215357263,0
97,29.25,57,0.6118738784280476,0
98,18.375,54,0.6088145090359074,0
99,18.25,61,0.6057704364907278,0
100,26.875,132,0.6027415843082742,0
101,12.125,49,0.5997278763867329,0
102,28.75,91,0.5967292370047992,0
103,33.0,117,0.5937455908197752,0
104,10.625,59,0.5907768628656763,0
105,18.75,50,0.5878229785513479,0
106,3.375,84,0.5848838636585911,0
107,12.375,48,0.5819594443402982,0
108,38.25,69,0.5790496471185967,0
109,20.375,96,0.5761543988830038,0
110,30.375,123,0.5732736268885887,0
111,22.75,89,0.5704072587541458,0
112,32.0,149,0.567555222460375,0
113,-0.625,84,0.5647174463480732,0
114,12.25,154,0.5618938591163328,0
115,25.25,117,0.5590843898207511,0
116,15.75,53,0.5562889678716474,0
117,19.25,52,0.5535075230322891,0
118,24.75,127,0.5507399854171277,0
119,20.0,74,0.547986285490042,0
120,33.875,153,0.5452463540625918,0
121,33.875,149,0.5425201222922789,0
122,20.125,64,0.5398075216808175,0
123,20.0,92,0.5371084840724134,0
124,39.125,126,0.5344229416520513,0
125,31.625,126,0.531750826943791,0
126,33.125,79,0.5290920728090721,0
127,69.625,190,0.5264466124450268,0
128,60.375,140,0.5238143793828016,0
129,56.25,151,0.5211953074858876,0
130,43.75,109,0.5185893309484582,0
131,27.5,95,0.5159963842937159,0
132,31.75,113,0.5134164023722473,0
133,13.5,145,0.510849320360386,0
134,29.5,176,0.5082950737585841,0
135,33.25,68,0.5057535983897912,0
136,59.75,205,0.5032248303978422,0
137,38.875,135,0.500708706245853,0
138,39.25,99,0.4982051627146237,0
139,25.125,182,0.49571413690105054,0
140,11.75,143,0.4932355662165453,0
141,25.5,202,0.4907693883854626,0
142,37.875,81,0.4883155414435353,0
143,42.125,149,0.4858739637363176,0
144,49.75,130,0.483444593917636,0
145,49.125,185,0.4810273709480478,0
146,32.625,132,0.47862223409330756,0
147,43.875,110,0.47622912292284103,0
148,35.25,128,0.4738479773082268,0
149,42.625,82,0.47147873742168567,0
150,19.5,105,0.46912134373457726,0
151,47.875,165,0.46677573701590436,0
152,30.5,113,0.46444185833082485,0
153,32.625,159,0.46211964903917074,0
154,69.25,187,0.4598090507939749,0
155,28.875,101,0.457510005540005,0
156,18.125,76,0.45522245551230495,0
157,20.875,84,0.4529463432347434,0
158,36.0,99,0.4506816115185697,0
159,25.75,80,0.4484282034609769,0
160,20.125,75,0.446186062443672,0
161,24.625,106,0.4439551321314536,0
162,36.375,115,0.4417353564707963,0
163,69.5,275,0.43952667968844233,0
164,64.875,154,0.43732904629000013,0
165,64.625,152,0.4351424010585501,0
166,28.375,120,0.43296668905325736,0
167,51.125,219,0.43080185560799106,0
168,50.25,132,0.4286478463299511,0
169,47.25,216,0.42650460709830135,0
170,71.25,187,0.42437208406280985,0
171,66.375,220,0.4222502236424958,0
172,53.875,137,0.42013897252428334,0
173,18.875,132,0.4180382776616619,0
174,34.125,120,0.4159480862733536,0
175,16.0,177,0.41386834584198684,0
176,29.0,74,0.4117990041127769,0
177,38.5,167,0.40974000909221303,0
178,22.875,64,0.40769130904675194,0
179,64.625,175,0.40565285250151817,0
180,71.875,113,0.4036245882390106,0
181,22.25,90,0.4016064652978155,0
182,114.875,299,0.3995984329713264,0
183,38.375,132,0.3976004408064698,0
184,44.5,104,0.39561243860243744,0
185,45.875,109,0.3936343764094253,0
186,60.125,145,0.39166620452737816,0
187,59.375,164,0.3897078735047413,0
188,47.125,117,0.3877593341372176,0
189,10.875,60,0.3858205374665315,0
190,38.75,106,0.38389143477919885,0
191,61.375,109,0.3819719776053028,0
192,43.5,93,0.3800621177172763,0
193,41.75,95,0.37816180712868996,0
194,91.75,264,0.37627099809304654,0
195,22.5,86,0.3743896431025813,0
196,53.25,133,0.37251769488706843,0
197,34.5,103,0.3706551064126331,0
198,62.75,129,0.36880183088056995,0
199,139.375,375,0.3669578217261671,0
200,13.0,44,0.36512303261753626,0
201,27.75,108,0.3632974174544486,0
202,59.5,170,0.3614809303671764,0
203,80.25,180,0.3596735257153405,0
204,82.625,232,0.3578751580867638,0
205,45.75,131,0.35608578229633,0
206,57.0,203,0.3543053533848483,0
207,73.25,186,0.35253382661792404,0
208,143.75,355,0.3507711574848344,0
209,53.625,152,0.34901730169741024,0
210,45.375,132,0.3472722151889232,0
211,108.625,273,0.3455358541129786,0
212,61.0,186,0.3438081748424137,0
213,68.125,137,0.3420891339682016,0
214,25.125,101,0.3403786882983606,0
215,20.375,103,0.3386767948568688,0
216,47.625,111,0.33698341088258443,0
217,12.25,183,0.3352984938281715,0
218,86.125,183,0.33362200135903064,0
219,53.5,193,0.33195389135223546,0
220,15.375,80,0.3302941218954743,0
221,41.125,142,0.32864265128599696,0
222,53.875,230,0.326999438029567,0
223,57.25,230,0.3253644408394192,0
224,123.5,340,0.3237376186352221,0
225,58.625,187,0.322118930542046,0
226,24.75,124,0.32050833588933575,0
227,69.625,217,0.31890579420988907,0
228,27.0,170,0.3173112652388396,0
229,83.5,142,0.3157247089126454,0
230,39.75,134,0.3141460853680822,0
231,41.625,243,0.3125753549412418,0
232,26.75,155,0.31101247816653554,0
233,51.0,118,0.30945741577570285,0
234,51.375,166,0.3079101286968243,0
235,47.5,180,0.3063705780533402,0
236,21.0,136,0.30483872516307353,0
237,51.625,237,0.3033145315372582,0
238,41.25,125,0.3017979588795719,0
239,54.25,105,0.30028896908517405,0
240,50.875,191,0.2987875242397482,0
241,50.25,136,0.29729358661854943,0
242,104.125,232,0.29580711868545667,0
243,73.5,156,0.2943280830920294,0
244,48.875,124,0.29285644267656924,0
245,42.75,133,0.2913921604631864,0
246,47.375,156,0.28993519966087045,0
247,61.75,114,0.2884855236625661,0
248,60.625,132,0.28704309604425327,0
249,131.5,298,0.285607880564032,0
250,63.75,255,0.28417984116121187,0
251,35.5,153,0.2827589419554058,0
252,57.5,247,0.28134514724562876,0
253,22.0,112,0.2799384215094006,0
254,27.125,184,0.27853872940185365,0
255,46.25,84,0.27714603575484437,0
256,28.375,159,0.2757603055760701,0
257,83.25,155,0.2743815040481898,0
258,96.5,348,0.2730095965279488,0
259,93.625,245,0.27164454854530906,0
260,58.5,131,0.2702863258025825,0
261,56.0,122,0.2689348941735696,0
262,57.875,104,0.26759021970270175,0
263,173.875,564,0.2662522686041882,0
264,34.75,121,0.2649210072611673,0
265,61.5,193,0.26359640222486147,0
266,51.625,254,0.26227842021373715,0
267,31.75,135,0.2609670281126685,0
268,41.5,225,0.25966219297210513,0
269,102.625,241,0.2583638820072446,0
270,60.375,254,0.2570720625972084,0
271,42.625,141,0.25578670228422234,0
272,28.375,102,0.25450776877280124,0
273,111.0,275,0.2532352299289372,0
274,29.25,146,0.2519690537792925,0
275,75.5,227,0.2507092085103961,0
276,137.375,262,0.2494556624678441,0
277,24.625,281,0.24820838415550486,0
278,30.75,130,0.24696734223472733,0
279,57.5,159,0.2457325055235537,0
280,59.75,311,0.24450384299593592,0
281,96.5,292,0.24328132378095624,0
282,80.5,202,0.24206491716205145,0
283,69.75,223,0.2408545925762412,0
284,59.0,121,0.23965031961336,0
285,175.375,356,0.2384520680152932,0
286,86.125,251,0.23725980767521673,0
287,73.25,172,0.23607350863684065,0
288,118.875,413,0.23489314109365644,0
289,53.75,209,0.23371867538818816,0
290,103.25,226,0.23255008201124722,0
291,39.625,123,0.231387331601191,0
292,126.875,354,0.23023039494318503,0
293,85.375,190,0.2290792429684691,0
294,58.5,145,0.22793384675362674,0
295,63.625,457,0.22679417751985861,0
296,57.875,188,0.22566020663225933,0
297,75.5,209,0.22453190559909803,0
298,117.375,297,0.22340924607110255,0
299,29.375,159,0.22229219984074702,0
300,71.5,311,0.2211807388415433,0
301,72.375,181,0.22007483514733558,0
302,89.875,162,0.2189744609715989,0
303,39.5,108,0.2178795886667409,0
304,36.375,156,0.2167901907234072,0
305,70.875,194,0.21570623976979014,0
306,108.5,369,0.21462770857094118,0
307,30.375,80,0.21355457002808648,0
308,21.0,149,0.21248679717794605,0
309,145.125,285,0.21142436319205632,0
310,42.5,204,0.21036724137609603,0
311,44.375,261,0.20931540516921554,0
312,40.5,222,0.20826882814336947,0
313,56.0,128,0.20722748400265262,0
314,22.125,207,0.20619134658263935,0
315,90.125,232,0.20516038984972615,0
316,83.375,199,0.2041345879004775,0
317,113.25,330,0.2031139149609751,0
318,143.25,374,0.20209834538617025,0
319,56.0,161,0.2010878536592394,0
320,82.0,290,0.2000824143909432,0
321,49.625,241,0.19908200231898848,0
322,207.0,602,0.19808659230739353,0
323,87.25,243,0.19709615934585656,0
324,58.75,222,0.19611067854912728,0
325,73.125,478,0.19513012515638165,0
326,81.875,353,0.19415447453059972,0
327,135.5,423,0.19318370215794672,0
328,39.75,165,0.192217783647157,0
329,66.875,235,0.1912566947289212,0
330,56.125,304,0.1903004112552766,0
331,41.125,166,0.18934890919900021,0
332,131.375,363,0.18840216465300522,0
333,68.375,192,0.18746015382974018,0
334,167.125,367,0.1865228530605915,0
335,33.25,84,0.18559023879528855,0
336,33.875,376,0.1846622876013121,0
337,75.0,237,0.18373897616330553,0
338,53.75,137,0.182820281282489,0
339,35.375,271,0.18190617987607657,0
340,122.25,347,0.18099664897669618,0
341,90.25,260,0.1800916657318127,0
342,131.0,295,0.17919120740315364,0
343,211.875,434,0.17829525136613786,0
344,67.875,243,0.17740377510930716,0
345,146.5,526,0.17651675623376062,0
346,89.25,261,0.1756341724525918,0
347,17.5,232,0.17475600159032884,0
348,166.375,492,0.17388222158237718,0
349,287.375,546,0.1730128104744653,0
350,69.125,192,0.17214774642209296,0
351,68.375,356,0.1712870076899825,0
352,111.75,260,0.17043057265153258,0
353,143.875,368,0.16957841978827493,0
354,117.375,258,0.16873052768933355,0
355,41.0,127,0.1678868750508869,0
356,46.625,207,0.16704744067563246,0
357,109.25,337,0.1662122034722543,0
358,128.125,639,0.16538114245489302,0
359,235.125,487,0.16455423674261854,0
360,139.875,345,0.16373146555890544,0
361,173.125,666,0.16291280823111093,0
362,191.375,575,0.16209824418995536,0
363,125.875,350,0.16128775296900558,0
364,226.0,483,0.16048131420416054,0
365,86.375,193,0.15967890763313974,0
366,59.75,236,0.15888051309497406,0
367,101.5,299,0.1580861105294992,0
368,127.0,328,0.1572956799768517,0
369,93.625,405,0.15650920157696743,0
370,197.25,454,0.1557266555690826,0
371,59.125,277,0.1549480222912372,0
372,239.875,810,0.15417328217978102,0
373,134.0,445,0.1534024157688821,0
374,127.5,352,0.1526354036900377,0
375,121.375,377,0.1518722266715875,0
376,139.125,462,0.15111286553822956,0
377,118.125,299,0.15035730121053842,0
378,118.5,359,0.14960551470448571,0
379,100.25,327,0.14885748713096328,0
380,194.125,649,0.14811319969530845,0
381,65.375,212,0.1473726336968319,0
382,64.625,401,0.14663577052834775,0
383,211.375,681,0.14590259167570602,0
384,77.5,302,0.1451730787173275,0
385,71.75,598,0.14444721332374086,0
386,171.625,399,0.14372497725712216,0
387,207.0,688,0.14300635237083656,0
388,47.375,205,0.14229132060898236,0
389,88.0,308,0.14157986400593744,0
390,123.0,242,0.14087196468590776,0
391,257.0,758,0.14016760486247823,0
392,30.875,310,0.13946676683816583,0
393,184.25,568,0.138769433003975,0
394,131.0,357,0.13807558583895513,0
395,76.375,264,0.13738520790976036,0
396,189.25,444,0.13669828187021155,0
397,50.75,463,0.13601479046086049,0
398,124.875,349,0.1353347165085562,0
399,1.5,396,0.1346580429260134,0
400,42.125,287,0.13398475271138335,0
401,112.375,348,0.13331482894782642,0
402,91.875,754,0.13264825480308728,0
403,109.25,327,0.13198501352907185,0
404,119.25,261,0.1313250884614265,0
405,232.375,386,0.13066846301911936,0
406,113.125,307,0.13001512070402377,0
407,300.375,755,0.12936504510050365,0
408,71.0,270,0.12871821987500112,0
409,96.0,211,0.12807462877562611,0
410,64.375,361,0.12743425563174798,0
411,83.75,241,0.12679708435358925,0
412,94.5,488,0.1261630989318213,0
413,99.0,793,0.1255322834371622,0
414,93.75,212,0.12490462201997637,0
415,33.375,368,0.1242800989098765,0
416,103.75,400,0.12365869841532712,0
417,167.25,517,0.12304040492325048,0
418,131.0,362,0.12242520289863423,0
419,128.875,381,0.12181307688414106,0
420,49.625,410,0.12120401149972035,0
421,213.0,913,0.12059799144222175,0
422,207.125,605,0.11999500148501063,0
423,90.5,242,0.11939502647758558,0
424,75.0,207,0.11879805134519765,0
425,17.25,254,0.11820406108847166,0
426,79.625,389,0.1176130407830293,0
427,137.125,380,0.11702497557911415,0
428,133.75,369,0.11643985070121858,0
429,176.625,401,0.11585765144771248,0
430,187.0,454,0.11527836319047392,0
431,252.625,701,0.11470197137452155,0
432,109.75,284,0.11412846151764894,0
433,111.875,351,0.1135578192100607,0
434,415.125,744,0.11299003011401039,0
435,159.625,629,0.11242507996344034,0
436,104.125,371,0.11186295456362313,0
437,105.875,556,0.11130363979080501,0
438,192.625,636,0.11074712159185099,0
439,183.5,1277,0.11019338598389174,0
440,136.0,467,0.10964241905397228,0
