Episode,Reward,Steps,Epsilon,Loss
0,6.625,168,0.995,0
1,5.625,69,0.990025,0
2,9.5,48,0.985074875,0
3,14.375,80,0.9801495006250001,0
4,15.5,96,0.9752487531218751,0
5,3.625,113,0.9703725093562657,0
6,27.625,82,0.9655206468094844,0
7,-11.0,116,0.960693043575437,0
8,11.125,82,0.9558895783575597,0
9,14.5,84,0.9511101304657719,0
10,-0.625,167,0.946354579813443,0
11,8.75,115,0.9416228069143757,0
12,22.125,67,0.9369146928798039,0
13,18.5,43,0.9322301194154049,0
14,8.75,69,0.9275689688183278,0
15,19.625,67,0.9229311239742362,0
16,11.125,64,0.918316468354365,0
17,8.625,60,0.9137248860125932,0
18,34.0,145,0.9091562615825302,0
19,9.5,37,0.9046104802746175,0
20,18.625,55,0.9000874278732445,0
21,18.5,109,0.8955869907338783,0
22,-6.625,88,0.8911090557802088,0
23,14.5,46,0.8866535105013078,0
24,9.625,126,0.8822202429488013,0
25,12.75,58,0.8778091417340573,0
26,-0.75,44,0.8734200960253871,0
27,23.625,61,0.8690529955452602,0
28,26.25,76,0.8647077305675338,0
29,4.625,69,0.8603841919146962,0
30,16.375,81,0.8560822709551227,0
31,7.625,29,0.851801859600347,0
32,24.5,81,0.8475428503023453,0
33,13.5,69,0.8433051360508336,0
34,31.5,77,0.8390886103705794,0
35,9.375,24,0.8348931673187264,0
36,25.25,110,0.8307187014821328,0
37,9.0,117,0.8265651079747222,0
38,-1.75,61,0.8224322824348486,0
39,14.5,36,0.8183201210226743,0
40,4.25,88,0.8142285204175609,0
41,9.0,78,0.810157377815473,0
42,-9.875,88,0.8061065909263957,0
43,28.75,198,0.8020760579717637,0
44,15.25,58,0.798065677681905,0
45,23.25,67,0.7940753492934954,0
46,27.875,109,0.7901049725470279,0
47,18.75,77,0.7861544476842928,0
48,20.0,70,0.7822236754458713,0
49,16.5,94,0.778312557068642,0
50,11.5,66,0.7744209942832988,0
51,5.875,70,0.7705488893118823,0
52,13.75,47,0.7666961448653229,0
53,40.125,159,0.7628626641409962,0
54,16.875,44,0.7590483508202912,0
55,14.625,32,0.7552531090661897,0
56,24.625,71,0.7514768435208588,0
57,6.5,54,0.7477194593032545,0
58,27.75,105,0.7439808620067382,0
59,2.625,132,0.7402609576967045,0
60,11.125,54,0.736559652908221,0
61,18.125,75,0.7328768546436799,0
62,26.25,117,0.7292124703704616,0
63,33.625,71,0.7255664080186093,0
64,22.5,78,0.7219385759785162,0
65,22.875,132,0.7183288830986236,0
66,46.75,82,0.7147372386831305,0
67,13.0,79,0.7111635524897149,0
68,21.625,60,0.7076077347272662,0
69,26.0,90,0.7040696960536299,0
70,18.625,52,0.7005493475733617,0
71,18.75,43,0.697046600835495,0
72,27.25,107,0.6935613678313175,0
73,38.75,94,0.6900935609921609,0
74,37.75,91,0.6866430931872001,0
75,3.0,114,0.6832098777212641,0
76,19.375,52,0.6797938283326578,0
77,32.875,136,0.6763948591909945,0
78,27.125,97,0.6730128848950395,0
79,16.0,39,0.6696478204705644,0
80,13.625,55,0.6662995813682115,0
81,20.125,80,0.6629680834613705,0
82,31.75,103,0.6596532430440636,0
83,39.25,72,0.6563549768288433,0
84,20.75,83,0.653073201944699,0
85,33.125,177,0.6498078359349755,0
86,16.5,142,0.6465587967553006,0
87,6.875,179,0.6433260027715241,0
88,37.875,102,0.6401093727576664,0
89,32.25,93,0.6369088258938781,0
90,5.75,62,0.6337242817644086,0
91,37.625,148,0.6305556603555866,0
92,57.125,148,0.6274028820538087,0
93,12.375,109,0.6242658676435396,0
94,28.375,104,0.6211445383053219,0
95,15.0,46,0.6180388156137953,0
96,15.0,99,0.6149486215357263,0
97,12.5,67,0.6118738784280476,0
98,18.5,110,0.6088145090359074,0
99,20.5,62,0.6057704364907278,0
100,21.125,79,0.6027415843082742,0
101,17.75,75,0.5997278763867329,0
102,37.75,109,0.5967292370047992,0
103,32.125,126,0.5937455908197752,0
104,21.5,60,0.5907768628656763,0
105,96.75,266,0.5878229785513479,0
106,18.125,97,0.5848838636585911,0
107,19.75,84,0.5819594443402982,0
108,32.25,126,0.5790496471185967,0
109,7.0,109,0.5761543988830038,0
110,22.375,51,0.5732736268885887,0
111,22.75,82,0.5704072587541458,0
112,12.0,100,0.567555222460375,0
113,43.25,103,0.5647174463480732,0
114,28.125,221,0.5618938591163328,0
115,44.375,124,0.5590843898207511,0
116,40.125,144,0.5562889678716474,0
117,38.25,125,0.5535075230322891,0
118,29.875,147,0.5507399854171277,0
119,38.75,106,0.547986285490042,0
120,46.0,91,0.5452463540625918,0
121,25.625,78,0.5425201222922789,0
122,24.0,108,0.5398075216808175,0
123,59.875,168,0.5371084840724134,0
124,21.25,87,0.5344229416520513,0
125,34.5,79,0.531750826943791,0
126,38.875,121,0.5290920728090721,0
127,5.25,97,0.5264466124450268,0
128,59.5,203,0.5238143793828016,0
129,18.0,98,0.5211953074858876,0
130,26.625,100,0.5185893309484582,0
131,50.0,119,0.5159963842937159,0
132,35.25,130,0.5134164023722473,0
